city,Latitude,Longitude,Address,Formatted_Address
Istanbul,41.011219,29.036732,Koşuyolu Cad. Cenap Şahabettin Sok. No:23 Koşuyolu KADIKÖY / İSTANBUL,"Koşuyolu, Cenap Şahabettin Sokak 23, 34718, Ka...
Name: address, dtype: object"
Adana,37.021465,35.315624,Yeni Baraj Mah. Ş. Yüzbaşı Bülent Angın Bulvarı Canlı Apt. Sit. No:22/01 Seyhan / ADANA,"Yenibaraj, Bülent Angın Bulvarı, 01150, Seyhan...
Name: address, dtype: object"
Ankara,39.910523,32.765457,Mustafa Kemal Mah. 2158 Sok. 2120 Cad. 3/1 Duru Plaza Çankaya / ANKARA,"Mustafa Kemal, 2120. Cadde 3, 06530, Çankaya, ...
Name: address, dtype: object"
İzmir,38.45513,27.182532,Mansuroğlu Mah. 283/12 Sok. No:16 K:4 D:8 Başarı 14 Apt. Bayraklı / İZMİR,"Mansuroğlu, 283/12. Sokak 16, 35535, Bayraklı,...
Name: address, dtype: object"
Trakya,41.160548,27.800557,Şeyh Sinan Mah. Hacı Salih Sok. No:1 Hacı Salih İş Merkezi Kat:5 D:20 Çorlu / TEKİRDAĞ,"Şeyhsinan, Hacı Salih Sokak 1, 59850, Çorlu, T...
Name: address, dtype: object"
